member_id,barcode,visits
89,434692792,['v370']
90,497057463,"['v183', 'v103']"
91,873343163,"['v101', 'v259']"
92,557395132,['v105']
93,948275388,[]
94,427509438,['v383']
95,696490175,[]
96,660491972,"['v111', 'v165']"
97,185937095,['v315']
98,622005447,"['v272', 'v248']"
99,726316232,[]
100,468535499,['v108']
101,441994445,"['v104', 'v116', 'v324']"
102,357876436,['v145']
103,527849174,"['v378', 'v384', 'v216', 'v390']"
104,809759960,[]
105,833517273,['v239']
106,642028269,"['v179', 'v214', 'v139']"
107,553660142,['v321']
108,332515060,"['v375', 'v280']"
109,550514932,"['v198', 'v284']"
110,281879286,[]
111,166068991,"['v323', 'v97', 'v385']"
112,482471168,"['v263', 'v144']"
113,908168448,"['v138', 'v268']"
114,299658498,['v197']
115,325165315,"['v389', 'v307']"
116,632404740,"['v249', 'v368']"
117,139549445,"['v331', 'v267']"
118,701440263,[]
119,825840391,[]
120,446307593,[]
121,909954314,"['v293', 'v107']"
122,876458763,['v124']
123,299880723,"['v393', 'v146', 'v376']"
124,402773781,[]
125,489159445,"['v363', 'v173']"
126,631261976,['v382']
127,337425688,['v213']
128,228930338,"['v388', 'v221']"
129,193295138,['v164']
130,804938533,['v346']
131,230042918,['v133']
132,113835815,[]
133,233615658,"['v261', 'v159', 'v360', 'v94']"
134,458368299,"['v228', 'v332', 'v308']"
135,585004332,['v335']
136,830021941,['v181']
137,697741625,[]
138,444898106,[]
139,895010619,"['v227', 'v356']"
140,783678273,[]
141,209828674,"['v301', 'v150']"
142,162017602,"['v371', 'v224']"
143,656844102,['v271']
144,474619719,"['v361', 'v208']"
145,516830536,"['v253', 'v184', 'v147', 'v322']"
146,564956489,['v220']
147,220991305,['v95']
148,852649803,[]
149,619657042,"['v232', 'v131', 'v168']"
150,177511253,['v193']
151,665980758,['v309']
152,955012953,['v329']
153,284539227,"['v226', 'v235', 'v379']"
154,546094941,['v98']
155,782124386,[]
156,987141475,"['v357', 'v305', 'v233']"
157,718052195,[]
158,224904549,"['v258', 'v387']"
159,949177194,['v175']
160,382353258,"['v342', 'v359']"
161,544584556,[]
162,807413104,"['v336', 'v110']"
163,139080050,"['v317', 'v394', 'v243']"
164,909392244,"['v25', 'v2', 'v8', 'v18', 'v13', 'v5', 'v24', 'v23', 'v3', 'v1', 'v20', 'v19', 'v17', 'v12', 'v4', 'v9', 'v6', 'v15', 'v7', 'v22', 'v11', 'v16', 'v21', 'v10', 'v26', 'v14']"
165,308038011,['v367']
166,964530558,['v344']
167,535947657,"['v122', 'v117', 'v260']"
168,849869706,"['v365', 'v125']"
169,113876366,"['v299', 'v134']"
170,145606544,"['v240', 'v121']"
171,795668374,"['v96', 'v209', 'v180']"
172,992688023,['v200']
173,762677142,['v334']
174,176267161,"['v113', 'v254']"
175,838009242,"['v320', 'v278', 'v316']"
176,681551773,[]
177,973166494,[]
178,352483744,"['v391', 'v300']"
179,958728099,[]
180,874067370,[]
181,241018282,['v270']
182,365328303,['v373']
183,390746544,['v352']
184,620263347,"['v120', 'v290']"
185,320899513,"['v250', 'v112']"
186,274307007,['v186']
187,328086466,[]
188,888472006,['v345']
189,296294854,"['v154', 'v313']"
190,618579911,"['v72', 'v80', 'v81', 'v82', 'v69', 'v74', 'v68', 'v77', 'v75', 'v78', 'v76', 'v73', 'v71', 'v79', 'v70']"
191,884693450,"['v192', 'v392']"
192,928059851,"['v199', 'v306', 'v123', 'v202']"
193,112626124,['v219']
194,597542860,"['v288', 'v314', 'v285', 'v386']"
195,939334604,[]
196,857922005,['v136']
197,358780375,['v281']
198,892428761,"['v211', 'v364']"
199,274618845,"['v358', 'v177']"
200,868676578,['v171']
201,288201699,"['v156', 'v381']"
202,911090659,"['v151', 'v127']"
203,817464810,"['v298', 'v349', 'v265']"
204,303242731,[]
205,758577643,"['v366', 'v350', 'v279', 'v162']"
206,481910253,"['v286', 'v217']"
207,291590641,[]
208,443451894,[]
209,625070071,"['v294', 'v275', 'v333']"
210,228149240,['v283']
211,537373686,"['v287', 'v355']"
212,674096124,"['v106', 'v312', 'v129', 'v166', 'v251', 'v195']"
213,755958777,[]
214,458314238,['v170']
215,219612159,['v337']
